latitude,longitude
23.54380734,87.28440707
23.50030893,87.3060995
23.56189986,87.28330461
23.55793503,87.28544501
23.53918205,87.2931478
23.53930059,87.29321738
23.53913876,87.29423503
23.53924639,87.29305412
23.56416615,87.28312508
23.54301153,87.29052921
23.53949572,87.29313531
23.53920646,87.29316985
23.54987397,87.28501795
23.55244005,87.28705459
23.56207982,87.28320681
23.49482578,87.31686383
23.53572379,87.29769204
23.53912871,87.29421651
23.54455887,87.28278848
23.55244005,87.28705459
23.50037549,87.3060321
23.53918312,87.29326026
23.55509478,87.28571542
23.5453659,87.2813137
23.55007451,87.28508676
23.53573862,87.29754939
23.5642382,87.28315275
23.55802865,87.28543695
23.55399268,87.28627659
23.54293317,87.29051715
23.53914868,87.29319147
23.5437367,87.28445756
23.55007323,87.28517122
23.54279323,87.28637914
23.55120346,87.28594445
23.54821756,87.28359969
23.54821756,87.28359969
23.548282,87.28366775
23.55006837,87.28514859999999
23.5194132,87.31128175
23.55802865,87.28543695
23.54823329,87.28373736
23.53569985,87.29766226
23.54174701,87.28971555
23.55799901,87.28547447
23.53923134,87.29317370000004
23.54533695,87.28130732
23.56416615,87.28312508
23.56421127,87.28310051
23.55511397,87.28571172
23.53911875,87.2931064
23.50727309,87.30993594
23.50034637,87.30604332
23.54708518,87.28274318
